,Gen,genInt,line,sex,Group,Rep,scenario,strategy,trait
327,40,3.81709534944141,sire,F,home,0,0_0,GenGen,13
328,41,3.4,sire,M,home,0,0_0,GenGen,13
329,41,4.10002598077423,dam,F,home,0,0_0,GenGen,13
330,42,4.97777777777778,dam,M,home,0,0_0,GenGen,13
331,41,3.75785918420369,sire,F,home,0,0_0,GenGen,13
332,42,3.91111111111111,sire,M,home,0,0_0,GenGen,13
333,42,4.09690828786698,dam,F,home,0,0_0,GenGen,13
334,43,4.93333333333333,dam,M,home,0,0_0,GenGen,13
335,42,3.84333593141076,sire,F,home,0,0_0,GenGen,13
336,43,4.2,sire,M,home,0,0_0,GenGen,13
337,43,4.07040789815536,dam,F,home,0,0_0,GenGen,13
338,44,4.84444444444444,dam,M,home,0,0_0,GenGen,13
339,43,3.8100805404001,sire,F,home,0,0_0,GenGen,13
340,44,4.17777777777778,sire,M,home,0,0_0,GenGen,13
341,44,4.08911405559886,dam,F,home,0,0_0,GenGen,13
342,45,4.97777777777778,dam,M,home,0,0_0,GenGen,13
343,44,3.82800727461678,sire,F,home,0,0_0,GenGen,13
344,45,3.51111111111111,sire,M,home,0,0_0,GenGen,13
345,45,4.07690309171213,dam,F,home,0,0_0,GenGen,13
346,46,5.2,dam,M,home,0,0_0,GenGen,13
347,45,3.86567939724604,sire,F,home,0,0_0,GenGen,13
348,46,4.84444444444444,sire,M,home,0,0_0,GenGen,13
349,46,4.08677578591842,dam,F,home,0,0_0,GenGen,13
350,47,5.31111111111111,dam,M,home,0,0_0,GenGen,13
351,46,3.85061054819434,sire,F,home,0,0_0,GenGen,13
352,47,3.84444444444444,sire,M,home,0,0_0,GenGen,13
353,47,4.07014809041309,dam,F,home,0,0_0,GenGen,13
354,48,5.04444444444444,dam,M,home,0,0_0,GenGen,13
355,47,3.83034554429722,sire,F,home,0,0_0,GenGen,13
356,48,4.33333333333333,sire,M,home,0,0_0,GenGen,13
357,48,4.09560924915562,dam,F,home,0,0_0,GenGen,13
358,49,5.02222222222222,dam,M,home,0,0_0,GenGen,13
359,48,3.74824629773967,sire,F,home,0,0_0,GenGen,13
360,49,4.22222222222222,sire,M,home,0,0_0,GenGen,13
361,19,1,dam,F,import,0,0_0,GenGen,13
362,20,1,dam,M,import,0,0_0,GenGen,13
363,19,1,sire,F,import,0,0_0,GenGen,13
364,20,1,sire,M,import,0,0_0,GenGen,13
365,20,1,dam,F,import,0,0_0,GenGen,13
366,21,5.008,dam,M,import,0,0_0,GenGen,13
367,20,1,sire,F,import,0,0_0,GenGen,13
368,21,8.016,sire,M,import,0,0_0,GenGen,13
369,21,4.15224733697064,dam,F,import,0,0_0,GenGen,13
370,22,4.916,dam,M,import,0,0_0,GenGen,13
371,21,4.35827487659132,sire,F,import,0,0_0,GenGen,13
372,22,7.904,sire,M,import,0,0_0,GenGen,13
373,22,4.14809041309431,dam,F,import,0,0_0,GenGen,13
374,23,4.988,dam,M,import,0,0_0,GenGen,13
375,22,4.39101065211743,sire,F,import,0,0_0,GenGen,13
376,23,8.076,sire,M,import,0,0_0,GenGen,13
377,23,4.16497791634191,dam,F,import,0,0_0,GenGen,13
378,24,4.928,dam,M,import,0,0_0,GenGen,13
379,23,4.39984411535464,sire,F,import,0,0_0,GenGen,13
380,24,7.964,sire,M,import,0,0_0,GenGen,13
381,24,4.06780982073266,dam,F,import,0,0_0,GenGen,13
382,25,4.936,dam,M,import,0,0_0,GenGen,13
383,24,4.39958430761237,sire,F,import,0,0_0,GenGen,13
384,25,7.908,sire,M,import,0,0_0,GenGen,13
385,25,4.07118732138218,dam,F,import,0,0_0,GenGen,13
386,26,5.032,dam,M,import,0,0_0,GenGen,13
387,25,4.28890620940504,sire,F,import,0,0_0,GenGen,13
388,26,7.996,sire,M,import,0,0_0,GenGen,13
389,26,4.06131462717589,dam,F,import,0,0_0,GenGen,13
390,27,5.044,dam,M,import,0,0_0,GenGen,13
391,26,4.3611327617563,sire,F,import,0,0_0,GenGen,13
392,27,8.068,sire,M,import,0,0_0,GenGen,13
393,27,4.12574694725903,dam,F,import,0,0_0,GenGen,13
394,28,4.864,dam,M,import,0,0_0,GenGen,13
395,27,4.25383216419849,sire,F,import,0,0_0,GenGen,13
396,28,8.008,sire,M,import,0,0_0,GenGen,13
397,28,4.11171732917641,dam,F,import,0,0_0,GenGen,13
398,29,5.008,dam,M,import,0,0_0,GenGen,13
399,28,4.3522992985191,sire,F,import,0,0_0,GenGen,13
400,29,8.04,sire,M,import,0,0_0,GenGen,13
401,29,4.08703559366069,dam,F,import,0,0_0,GenGen,13
402,30,5.04,dam,M,import,0,0_0,GenGen,13
403,29,4.25772928033255,sire,F,import,0,0_0,GenGen,13
404,30,8.11,sire,M,import,0,0_0,GenGen,13
405,30,4.06806962847493,dam,F,import,0,0_0,GenGen,13
406,31,4.91,dam,M,import,0,0_0,GenGen,13
407,30,4.36814757079761,sire,F,import,0,0_0,GenGen,13
408,31,4.0875,sire,M,import,0,0_0,GenGen,13
409,31,4.04416731618602,dam,F,import,0,0_0,GenGen,13
410,32,4.9325,dam,M,import,0,0_0,GenGen,13
411,31,4.10080540400104,sire,F,import,0,0_0,GenGen,13
412,32,3.68,sire,M,import,0,0_0,GenGen,13
413,32,4.05741751104183,dam,F,import,0,0_0,GenGen,13
414,33,4.9575,dam,M,import,0,0_0,GenGen,13
415,32,3.49727201870616,sire,F,import,0,0_0,GenGen,13
416,33,3.935,sire,M,import,0,0_0,GenGen,13
417,33,4.08261886204209,dam,F,import,0,0_0,GenGen,13
418,34,4.9725,dam,M,import,0,0_0,GenGen,13
419,33,3.54429722005716,sire,F,import,0,0_0,GenGen,13
420,34,3.98,sire,M,import,0,0_0,GenGen,13
