,Gen,genInt,line,sex,Group,Rep,scenario,strategy
315,34,5.84112756560145,sire,F,import,3,100_100,GenGen
316,35,7.94223826714801,sire,M,import,3,100_100,GenGen
317,35,4.09664848012471,dam,F,import,3,100_100,GenGen
318,36,5.00361010830325,dam,M,import,3,100_100,GenGen
319,35,5.8398285268901,sire,F,import,3,100_100,GenGen
320,36,8.07220216606498,sire,M,import,3,100_100,GenGen
321,36,4.10132501948558,dam,F,import,3,100_100,GenGen
322,37,5.02527075812274,dam,M,import,3,100_100,GenGen
323,36,5.82579890880748,sire,F,import,3,100_100,GenGen
324,37,7.95667870036101,sire,M,import,3,100_100,GenGen
325,37,4.10496232787737,dam,F,import,3,100_100,GenGen
326,38,5.02527075812274,dam,M,import,3,100_100,GenGen
327,37,5.91023642504547,sire,F,import,3,100_100,GenGen
328,38,7.9927797833935,sire,M,import,3,100_100,GenGen
329,38,4.10041569238763,dam,F,import,3,100_100,GenGen
330,39,5.014440433213,dam,M,import,3,100_100,GenGen
331,38,5.87996882307093,sire,F,import,3,100_100,GenGen
332,39,8.08303249097473,sire,M,import,3,100_100,GenGen
333,58,4.10756040530008,dam,F,import,3,100_100,GenGen
334,59,4.97391304347826,dam,M,import,3,100_100,GenGen
335,58,3.82592881267862,sire,F,import,3,100_100,GenGen
336,59,3.86666666666667,sire,M,import,3,100_100,GenGen
337,19,1,dam,F,home,3,50_50,GenGen
338,20,1,dam,M,home,3,50_50,GenGen
339,19,1,sire,F,home,3,50_50,GenGen
340,20,1,sire,M,home,3,50_50,GenGen
341,20,1,dam,F,home,3,50_50,GenGen
342,21,5.014440433213,dam,M,home,3,50_50,GenGen
343,20,1,sire,F,home,3,50_50,GenGen
344,21,7.95667870036101,sire,M,home,3,50_50,GenGen
345,21,4.20122109638867,dam,F,home,3,50_50,GenGen
346,22,4.96028880866426,dam,M,home,3,50_50,GenGen
347,21,6.20239023122889,sire,F,home,3,50_50,GenGen
348,22,8.07581227436823,sire,M,home,3,50_50,GenGen
349,22,4.18602234346584,dam,F,home,3,50_50,GenGen
350,23,5.02166064981949,dam,M,home,3,50_50,GenGen
351,22,6.26955053260587,sire,F,home,3,50_50,GenGen
352,23,8.014440433213,sire,M,home,3,50_50,GenGen
353,23,4.16250974279034,dam,F,home,3,50_50,GenGen
354,24,4.985559566787,dam,M,home,3,50_50,GenGen
355,23,5.89607690309171,sire,F,home,3,50_50,GenGen
