,Category,EBVGen,Cor,Group,Scenario,Rep,Generation
2,Male candidates,EBV24,0.2713332121788871,import,10_10,0,24
3,Male candidates1,EBV24,-0.025101547228865092,import,10_10,0,24
4,Mothers,EBV24,0.6751462443283135,import,10_10,0,24
0,Fathers,EBV25,0.09234027072019735,import,10_10,0,25
1,Female candidates,EBV25,0.315193926091619,import,10_10,0,25
2,Male candidates,EBV25,0.4447613166233629,import,10_10,0,25
3,Male candidates1,EBV25,0.029099961414351946,import,10_10,0,25
4,Mothers,EBV25,0.6521662934589265,import,10_10,0,25
0,Fathers,EBV26,0.13719843254301506,import,10_10,0,26
1,Female candidates,EBV26,0.3087593375754134,import,10_10,0,26
2,Male candidates,EBV26,0.3857388702461359,import,10_10,0,26
3,Male candidates1,EBV26,0.21823202464708033,import,10_10,0,26
4,Mothers,EBV26,0.581706294816479,import,10_10,0,26
0,Fathers,EBV27,0.5304217527782005,import,10_10,0,27
1,Female candidates,EBV27,0.2504775111942823,import,10_10,0,27
2,Male candidates,EBV27,0.10369990209129057,import,10_10,0,27
3,Male candidates1,EBV27,0.17467768333899783,import,10_10,0,27
4,Mothers,EBV27,0.4744273079760301,import,10_10,0,27
0,Fathers,EBV28,0.4852009149626765,import,10_10,0,28
1,Female candidates,EBV28,0.22802584391774094,import,10_10,0,28
2,Male candidates,EBV28,0.23028728321317998,import,10_10,0,28
3,Male candidates1,EBV28,0.1842579588051643,import,10_10,0,28
4,Mothers,EBV28,0.49825414602002194,import,10_10,0,28
0,Fathers,EBV29,0.4318273519578767,import,10_10,0,29
1,Female candidates,EBV29,0.22216167818854377,import,10_10,0,29
2,Male candidates,EBV29,0.20984406919091458,import,10_10,0,29
3,Male candidates1,EBV29,0.13614959099649346,import,10_10,0,29
4,Mothers,EBV29,0.4635431000354566,import,10_10,0,29
0,Fathers,EBV30,0.20855173893548332,import,10_10,0,30
1,Female candidates,EBV30,0.19825821079739597,import,10_10,0,30
2,Male candidates,EBV30,0.3676126783506676,import,10_10,0,30
3,Male candidates1,EBV30,0.20302965496892691,import,10_10,0,30
4,Mothers,EBV30,0.4591211094223089,import,10_10,0,30
0,Fathers,EBV31,0.25499262705097164,import,10_10,0,31
1,Female candidates,EBV31,0.201519133621738,import,10_10,0,31
2,Male candidates,EBV31,0.2928534070309497,import,10_10,0,31
3,Male candidates1,EBV31,0.16861286152480207,import,10_10,0,31
4,Mothers,EBV31,0.4526599264005006,import,10_10,0,31
0,Fathers,EBV32,0.280099217736627,import,10_10,0,32
1,Female candidates,EBV32,0.18798635732615937,import,10_10,0,32
2,Male candidates,EBV32,0.26787908145242156,import,10_10,0,32
3,Male candidates1,EBV32,0.017412876858931985,import,10_10,0,32
4,Mothers,EBV32,0.4358145577698555,import,10_10,0,32
0,Fathers,EBV33,0.3397049131323637,import,10_10,0,33
1,Female candidates,EBV33,0.20713809718951567,import,10_10,0,33
2,Male candidates,EBV33,0.29522810762213786,import,10_10,0,33
3,Male candidates1,EBV33,0.13717938865647708,import,10_10,0,33
4,Mothers,EBV33,0.42796522474946147,import,10_10,0,33
0,Fathers,EBV34,0.30231394325771027,import,10_10,0,34
1,Female candidates,EBV34,0.1866603912677302,import,10_10,0,34
2,Male candidates,EBV34,0.36967201940226146,import,10_10,0,34
3,Male candidates1,EBV34,0.0518164522594237,import,10_10,0,34
4,Mothers,EBV34,0.4334026394975843,import,10_10,0,34
0,Fathers,EBV35,0.2438883712498955,import,10_10,0,35
1,Female candidates,EBV35,0.19548172016902882,import,10_10,0,35
2,Male candidates,EBV35,0.33680883273621076,import,10_10,0,35
3,Male candidates1,EBV35,0.028289537081424627,import,10_10,0,35
4,Mothers,EBV35,0.43699525840968345,import,10_10,0,35
0,Fathers,EBV36,0.1352275751264895,import,10_10,0,36
1,Female candidates,EBV36,0.20770206537838015,import,10_10,0,36
2,Male candidates,EBV36,0.1770378051735119,import,10_10,0,36
3,Male candidates1,EBV36,0.052119595557319244,import,10_10,0,36
4,Mothers,EBV36,0.4374687597504593,import,10_10,0,36
0,Fathers,EBV37,0.1859868683302425,import,10_10,0,37
1,Female candidates,EBV37,0.14528357805523084,import,10_10,0,37
2,Male candidates,EBV37,0.21244248308418523,import,10_10,0,37
3,Male candidates1,EBV37,0.015614962061457188,import,10_10,0,37
4,Mothers,EBV37,0.43300397186467376,import,10_10,0,37
0,Fathers,EBV38,0.1553338538888292,import,10_10,0,38
1,Female candidates,EBV38,0.16715484377169573,import,10_10,0,38
2,Male candidates,EBV38,0.29880222150996016,import,10_10,0,38
3,Male candidates1,EBV38,0.04471919230068263,import,10_10,0,38
4,Mothers,EBV38,0.4323835061233463,import,10_10,0,38
0,Fathers,EBV39,0.1861243863168476,import,10_10,0,39
1,Female candidates,EBV39,0.19370917538283697,import,10_10,0,39
2,Male candidates,EBV39,0.2756549724304549,import,10_10,0,39
