Strategy,Scenario,Group,Gen,Cat,Cor
ClassGen,0_100,import,30,Mothers,0.05570603889717893
ClassGen,0_100,import,31,Fathers,0.08394126763161491
ClassGen,0_100,import,31,Female candidates,-0.14887353708428602
ClassGen,0_100,import,31,Male candidates,0.4773115086991176
ClassGen,0_100,import,31,Male candidates1,0.29011868095257715
ClassGen,0_100,import,31,Mothers,0.04697775156336076
ClassGen,0_100,import,32,Fathers,0.14346259612524734
ClassGen,0_100,import,32,Female candidates,-0.15855741355406855
ClassGen,0_100,import,32,Male candidates,0.5143863429157269
ClassGen,0_100,import,32,Male candidates1,-0.12312055192771505
ClassGen,0_100,import,32,Mothers,0.057328816285743225
ClassGen,0_100,import,33,Fathers,0.2323926472401983
ClassGen,0_100,import,33,Female candidates,-0.12049933163720088
ClassGen,0_100,import,33,Male candidates,0.5066296046594022
ClassGen,0_100,import,33,Male candidates1,-0.00706502442232553
ClassGen,0_100,import,33,Mothers,0.05272216543749386
ClassGen,0_100,import,34,Fathers,0.3132246475277076
ClassGen,0_100,import,34,Female candidates,-0.1064624338817088
ClassGen,0_100,import,34,Male candidates,0.47134393952925524
ClassGen,0_100,import,34,Male candidates1,0.2349693452640773
ClassGen,0_100,import,34,Mothers,0.05341088995561632
ClassGen,0_100,import,35,Fathers,0.3283117188366518
ClassGen,0_100,import,35,Female candidates,-0.15485404386659676
ClassGen,0_100,import,35,Male candidates,0.46450376253147924
ClassGen,0_100,import,35,Male candidates1,-0.4257192746376777
ClassGen,0_100,import,35,Mothers,0.043189371709246714
ClassGen,0_100,import,36,Fathers,0.46689114915349184
ClassGen,0_100,import,36,Female candidates,-0.17678830344452226
ClassGen,0_100,import,36,Male candidates,0.4928970043265076
ClassGen,0_100,import,36,Male candidates1,0.1122413261968007
ClassGen,0_100,import,36,Mothers,0.04187470761309589
ClassGen,0_100,import,37,Fathers,0.4509381298401005
ClassGen,0_100,import,37,Female candidates,-0.2415381317883695
ClassGen,0_100,import,37,Male candidates,0.5643633289115138
ClassGen,0_100,import,37,Male candidates1,0.4299991308148101
ClassGen,0_100,import,37,Mothers,0.053686839615676996
ClassGen,0_100,import,38,Fathers,0.4276617685991668
ClassGen,0_100,import,38,Female candidates,-0.2585083275944729
ClassGen,0_100,import,38,Male candidates,0.5397749711159652
ClassGen,0_100,import,38,Male candidates1,-0.22483984122019346
ClassGen,0_100,import,38,Mothers,0.048202992131508644
ClassGen,0_100,import,39,Fathers,0.4092195329518316
ClassGen,0_100,import,39,Female candidates,-0.25893522841090993
ClassGen,0_100,import,39,Male candidates,0.45295936525420916
ClassGen,0_100,import,39,Male candidates1,-0.10979524156485757
ClassGen,0_100,import,39,Mothers,0.03593061051813207
ClassGen,0_100,import,40,Fathers,0.43422354268518126
ClassGen,0_100,import,40,Female candidates,-0.2661624646629093
ClassGen,0_100,import,40,Male candidates,0.3402872513916655
ClassGen,0_100,import,40,Male candidates1,0.2865726153507828
ClassGen,0_100,import,40,Mothers,-0.004969420153409796
ClassGen,0_100,import,41,Fathers,-0.021804085799770653
ClassGen,0_100,import,41,Female candidates,-0.21036877715756366
ClassGen,0_100,import,41,Male candidates,0.094054619756283
ClassGen,0_100,import,41,Mothers,0.0466868439152507
ClassGen,0_100,import,42,Fathers,0.03185139903209683
ClassGen,0_100,import,42,Female candidates,-0.19771187696950626
ClassGen,0_100,import,42,Male candidates,0.2077258315363945
ClassGen,0_100,import,42,Mothers,0.07114777515079228
ClassGen,0_100,import,43,Fathers,0.10028164428815607
ClassGen,0_100,import,43,Female candidates,-0.1101868806292899
ClassGen,0_100,import,43,Male candidates,0.14490989099080326
ClassGen,0_100,import,43,Mothers,0.07773810637485332
ClassGen,0_100,import,44,Fathers,0.11206389363234921
ClassGen,0_100,import,44,Female candidates,-0.08612460831140631
ClassGen,0_100,import,44,Male candidates,0.11782429004646305
ClassGen,0_100,import,44,Mothers,0.0779722309495788
ClassGen,0_100,import,45,Fathers,0.16247391591081162
ClassGen,0_100,import,45,Female candidates,0.016582873327647574
ClassGen,0_100,import,45,Male candidates,0.06241455897489341
ClassGen,0_100,import,45,Mothers,0.11103752247494952
ClassGen,0_100,import,46,Fathers,0.2372562699652744
ClassGen,0_100,import,46,Female candidates,0.029666001381423945
ClassGen,0_100,import,46,Male candidates,0.13699391562186786
ClassGen,0_100,import,46,Mothers,0.13797147564847392
ClassGen,0_100,import,47,Fathers,0.20156719240655296
ClassGen,0_100,import,47,Female candidates,0.006171561304175841
ClassGen,0_100,import,47,Male candidates,0.19829569589836707
ClassGen,0_100,import,47,Mothers,0.17697874512862333
ClassGen,0_100,import,48,Fathers,0.17579051524431435
ClassGen,0_100,import,48,Female candidates,0.021885248325178783
ClassGen,0_100,import,48,Male candidates,0.25176945341355944
ClassGen,0_100,import,48,Mothers,0.21437615589489017
ClassGen,0_100,import,49,Fathers,0.16773450103909818
ClassGen,0_100,import,49,Female candidates,0.061206965769001365
ClassGen,0_100,import,49,Male candidates,0.2297318187621253
ClassGen,0_100,import,49,Mothers,0.2459624502680117
ClassGen,0_100,import,50,Fathers,0.12348358052419331
ClassGen,0_100,import,50,Female candidates,0.06212431744476131
ClassGen,0_100,import,50,Male candidates,0.3005404511853173
ClassGen,0_100,import,50,Mothers,0.25184549239497483
ClassGen,100_100,home,21,Fathers,-0.07318272505093446
ClassGen,100_100,home,21,Female candidates,0.03933311616034808
ClassGen,100_100,home,21,Male candidates,0.03847124030561002
ClassGen,100_100,home,21,Male candidates1,-0.07879778972412073
ClassGen,100_100,home,21,Mothers,0.1884914529450766
ClassGen,100_100,home,22,Fathers,-0.03643281017812089
ClassGen,100_100,home,22,Female candidates,0.08761966654494414
ClassGen,100_100,home,22,Male candidates,0.22023301924309324
ClassGen,100_100,home,22,Male candidates1,0.03624787827932
ClassGen,100_100,home,22,Mothers,0.27146346646010233
ClassGen,100_100,home,23,Fathers,-0.11673948664794921
ClassGen,100_100,home,23,Female candidates,0.14627344716450932
ClassGen,100_100,home,23,Male candidates,0.3237126525606833
ClassGen,100_100,home,23,Male candidates1,0.08787018467223483
ClassGen,100_100,home,23,Mothers,0.32852609109190367
ClassGen,100_100,home,24,Fathers,0.05075692565901577
ClassGen,100_100,home,24,Female candidates,0.23103802334619794
ClassGen,100_100,home,24,Male candidates,0.16015950800387446
ClassGen,100_100,home,24,Male candidates1,-0.0945700340340683
ClassGen,100_100,home,24,Mothers,0.337912270558776
ClassGen,100_100,home,25,Fathers,-0.23069426346276384
ClassGen,100_100,home,25,Female candidates,0.17450027514096125
ClassGen,100_100,home,25,Male candidates,0.5293524028502384
ClassGen,100_100,home,25,Male candidates1,0.0811022300849259
ClassGen,100_100,home,25,Mothers,0.2887390453858835
ClassGen,100_100,home,26,Fathers,0.05829308464482301
ClassGen,100_100,home,26,Female candidates,0.10472980364378234
ClassGen,100_100,home,26,Male candidates,0.14081670421583392
ClassGen,100_100,home,26,Male candidates1,-0.031735775490938964
ClassGen,100_100,home,26,Mothers,0.26298253701877256
ClassGen,100_100,home,27,Fathers,0.02272080302445461
ClassGen,100_100,home,27,Female candidates,0.06942815311400538
ClassGen,100_100,home,27,Male candidates,0.1350508970670882
ClassGen,100_100,home,27,Male candidates1,0.10834417640553556
ClassGen,100_100,home,27,Mothers,0.21827965568793883
ClassGen,100_100,home,28,Fathers,-0.12019870257051495
ClassGen,100_100,home,28,Female candidates,-0.02374791557707069
