Group,Scenario,Generation,Category,Cor
home,10_10,29,Fathers,0.921081010223
home,10_10,29,Female candidates,0.409550975783
home,10_10,29,Male candidates,0.900098780614
home,10_10,29,Male candidates1,0.309121426895
home,10_10,29,Mothers,0.583048996055
home,10_10,30,Fathers,0.892735489518
home,10_10,30,Female candidates,0.424866392293
home,10_10,30,Male candidates,0.886872895324
home,10_10,30,Male candidates1,0.415438632293
home,10_10,30,Mothers,0.577070327289
home,10_10,31,Fathers,0.814460829565
home,10_10,31,Female candidates,0.431053015756
home,10_10,31,Male candidates,0.893902651758
home,10_10,31,Male candidates1,0.387147193265
home,10_10,31,Mothers,0.574414090809
home,10_10,32,Fathers,0.777779852205
home,10_10,32,Female candidates,0.399160071074
home,10_10,32,Male candidates,0.940362420297
home,10_10,32,Male candidates1,0.206322454083
home,10_10,32,Mothers,0.578632912529
home,10_10,33,Fathers,0.85220765315
home,10_10,33,Female candidates,0.347388818802
home,10_10,33,Male candidates,0.860314755055
home,10_10,33,Male candidates1,0.156436349396
home,10_10,33,Mothers,0.574434155825
home,10_10,34,Fathers,0.850207857514
home,10_10,34,Female candidates,0.36806400494
home,10_10,34,Male candidates,0.909020254626
home,10_10,34,Male candidates1,0.268647647258
home,10_10,34,Mothers,0.570198338068
home,10_10,35,Fathers,0.870579043545
home,10_10,35,Female candidates,0.361644640378
home,10_10,35,Male candidates,0.877289947566
home,10_10,35,Male candidates1,0.356244138273
home,10_10,35,Mothers,0.556211387671
home,10_10,36,Fathers,0.874593743152
home,10_10,36,Female candidates,0.376587972023
home,10_10,36,Male candidates,0.917833677155
home,10_10,36,Male candidates1,0.180393039083
home,10_10,36,Mothers,0.548690201184
home,10_10,37,Fathers,0.895553762648
home,10_10,37,Female candidates,0.370595901815
home,10_10,37,Male candidates,0.967477851495
home,10_10,37,Male candidates1,0.252801051263
home,10_10,37,Mothers,0.550404566631
home,10_10,38,Fathers,0.912198500453
home,10_10,38,Female candidates,0.345394630627
home,10_10,38,Male candidates,0.829744978865
home,10_10,38,Male candidates1,0.24947451714
home,10_10,38,Mothers,0.551107547052
home,10_10,39,Fathers,0.916827630825
home,10_10,39,Female candidates,0.364553176811
home,10_10,39,Male candidates,0.926097808125
home,10_10,39,Male candidates1,0.168268234176
home,10_10,39,Mothers,0.551533620243
home,10_10,40,Fathers,0.875866998426
home,10_10,40,Female candidates,0.368085000516
home,10_10,40,Male candidates,0.918084581619
home,10_10,40,Male candidates1,0.375807490441
home,10_10,40,Mothers,0.54621134014
home,10_10,41,Fathers,0.627654507601
home,10_10,41,Female candidates,0.490184287779
home,10_10,41,Male candidates,0.386943821289
home,10_10,41,Mothers,0.78658395296
home,10_10,42,Fathers,0.69179029895
home,10_10,42,Female candidates,0.352756244549
home,10_10,42,Male candidates,0.789540200894
home,10_10,42,Mothers,0.740935010162
home,10_10,43,Fathers,0.815993486573
home,10_10,43,Female candidates,0.375069704205
home,10_10,43,Male candidates,0.731111148941
home,10_10,43,Mothers,0.705232621428
home,10_10,44,Fathers,0.866665214586
home,10_10,44,Female candidates,0.439047396225
home,10_10,44,Male candidates,0.785310751892
home,10_10,44,Mothers,0.687729514235
home,10_10,45,Fathers,0.867407413089
home,10_10,45,Female candidates,0.497731085031
home,10_10,45,Male candidates,0.777058425172
home,10_10,45,Mothers,0.697479267454
home,10_10,46,Fathers,0.880592556633
home,10_10,46,Female candidates,0.461305416447
home,10_10,46,Male candidates,0.755971600858
home,10_10,46,Mothers,0.707140162453
home,10_10,47,Fathers,0.842972080645
home,10_10,47,Female candidates,0.459967923221
home,10_10,47,Male candidates,0.78696533488
home,10_10,47,Mothers,0.724953434952
home,10_10,48,Fathers,0.822403953586
home,10_10,48,Female candidates,0.400033138888
home,10_10,48,Male candidates,0.695982166915
home,10_10,48,Mothers,0.729096537569
home,10_10,49,Fathers,0.762171690548
home,10_10,49,Female candidates,0.432665008695
home,10_10,49,Male candidates,0.753455312385
