Generation Group variable value sd var SDSt zMean Strategy Scenario Rep GenVar Trait SDGenic SDGenicSt zMeanGenic SDGenicStNeg Genic_Genetic_VAR Genic_Genetic_SD Genic_Genetic_SDSt zMeanGenic_Genetic Import
23 import gvNormUnres1 2.78436540728473 1.43787173503665 2.06747512641732 0.947867852610142 1.32950401674779 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
24 import gvNormUnres1 3.1299039155653 1.51983135789795 2.30988735644993 1.00189693589294 1.55728848170194 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
25 import gvNormUnres1 3.29000369259066 1.52116679300351 2.31394841213658 1.00277727589474 1.66282879392493 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
26 import gvNormUnres1 3.48839060313516 1.47115253483943 2.16428978076447 0.969807083678896 1.79360859180376 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
27 import gvNormUnres1 3.76162145061226 1.46814573650046 2.15545190360447 0.96782495452555 1.97372669994528 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
28 import gvNormUnres1 4.04020847364811 1.5165842563143 2.3000278065004 0.999756395029448 2.15737568396493 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
29 import gvNormUnres1 4.28664100593904 1.50140616036854 2.2542204583926 0.989750753454993 2.31982791771019 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
30 import gvNormUnres1 4.58674174681899 1.50007254208935 2.25021763153039 0.98887161113395 2.51765908574365 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
31 import gvNormUnres1 4.83277298704218 1.45587559523417 2.11957374879846 0.959736282796426 2.6798467813933 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
32 import gvNormUnres1 5.05372330985019 1.47070503951614 2.16297331325819 0.969512087664443 2.82550073849553 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
33 import gvNormUnres1 5.29029621835882 1.44569558599368 2.09003572736161 0.953025459248531 2.98145335186831 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
34 import gvNormUnres1 5.47523912785674 1.43691603633026 2.06472769546307 0.947237840865354 3.10337065103324 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
35 import gvNormUnres1 5.70343049805774 1.45389102641904 2.1137991167018 0.958428023557912 3.2537980214211 SU55 GenGen 4 NA NA NA NA NA NA NA NA NA NA 100_100
