,Category,EBVGen,Cor,Group,Trait,Scenario,Rep,Generation,Strategy
1,Female candidates,EBV44,0.4440680550488315,import,2,0_0,0,44,ClassGen
2,Male candidates,EBV44,0.806699057758086,import,2,0_0,0,44,ClassGen
3,Mothers,EBV44,0.7412895819399608,import,2,0_0,0,44,ClassGen
0,Fathers,EBV45,0.797235474742327,import,2,0_0,0,45,ClassGen
1,Female candidates,EBV45,0.44502131091536934,import,2,0_0,0,45,ClassGen
2,Male candidates,EBV45,0.8133353989486398,import,2,0_0,0,45,ClassGen
3,Mothers,EBV45,0.7461086729785207,import,2,0_0,0,45,ClassGen
0,Fathers,EBV46,0.677596672614102,import,2,0_0,0,46,ClassGen
1,Female candidates,EBV46,0.44357167422836585,import,2,0_0,0,46,ClassGen
2,Male candidates,EBV46,0.8348275960652772,import,2,0_0,0,46,ClassGen
3,Mothers,EBV46,0.7338664604075703,import,2,0_0,0,46,ClassGen
0,Fathers,EBV47,0.7506585225572764,import,2,0_0,0,47,ClassGen
1,Female candidates,EBV47,0.4293993475083108,import,2,0_0,0,47,ClassGen
2,Male candidates,EBV47,0.7971783822716212,import,2,0_0,0,47,ClassGen
3,Mothers,EBV47,0.7336460472161712,import,2,0_0,0,47,ClassGen
0,Fathers,EBV48,0.7537355014888822,import,2,0_0,0,48,ClassGen
1,Female candidates,EBV48,0.4447967695212245,import,2,0_0,0,48,ClassGen
2,Male candidates,EBV48,0.7957109038149204,import,2,0_0,0,48,ClassGen
3,Mothers,EBV48,0.7383830570760532,import,2,0_0,0,48,ClassGen
0,Fathers,EBV49,0.8142975574689205,import,2,0_0,0,49,ClassGen
1,Female candidates,EBV49,0.4319656241054582,import,2,0_0,0,49,ClassGen
2,Male candidates,EBV49,0.8144130201374495,import,2,0_0,0,49,ClassGen
3,Mothers,EBV49,0.7350876102754552,import,2,0_0,0,49,ClassGen
0,Fathers,EBV50,0.8134960351803785,import,2,0_0,0,50,ClassGen
1,Female candidates,EBV50,0.472766638744332,import,2,0_0,0,50,ClassGen
2,Male candidates,EBV50,0.8090318360118883,import,2,0_0,0,50,ClassGen
3,Mothers,EBV50,0.7346472709495587,import,2,0_0,0,50,ClassGen
0,Fathers,EBV21,0.03227091001319672,home,3,0_0,0,21,ClassGen
1,Female candidates,EBV21,0.03895730369965889,home,3,0_0,0,21,ClassGen
2,Male candidates,EBV21,0.7363987770512435,home,3,0_0,0,21,ClassGen
3,Male candidates1,EBV21,-0.009426529081587696,home,3,0_0,0,21,ClassGen
4,Mothers,EBV21,0.36048991539365927,home,3,0_0,0,21,ClassGen
0,Fathers,EBV22,-0.08942309826752065,home,3,0_0,0,22,ClassGen
1,Female candidates,EBV22,0.16176264041048602,home,3,0_0,0,22,ClassGen
2,Male candidates,EBV22,-0.5411533817632173,home,3,0_0,0,22,ClassGen
3,Male candidates1,EBV22,-0.026819479185389846,home,3,0_0,0,22,ClassGen
4,Mothers,EBV22,0.42949245053976504,home,3,0_0,0,22,ClassGen
0,Fathers,EBV23,-0.09879111529793212,home,3,0_0,0,23,ClassGen
1,Female candidates,EBV23,0.188391758555272,home,3,0_0,0,23,ClassGen
2,Male candidates,EBV23,-0.08311318741813584,home,3,0_0,0,23,ClassGen
3,Male candidates1,EBV23,0.14445135388556668,home,3,0_0,0,23,ClassGen
4,Mothers,EBV23,0.5247616359197896,home,3,0_0,0,23,ClassGen
