strategy,scenario,Group,Generation,cat,trait,gvNormUnres1,gvNormUnres2
ClassGen,10_10,import,39,gpb,2,9.764001884453334,10.628684336926668
ClassGen,10_10,import,40,gpb,2,10.258452822224447,11.176473795939998
ClassGen,10_10,import,41,gpb,2,10.39633937282,11.240329752011112
ClassGen,10_10,import,42,gpb,2,10.73803126426,11.611919464211113
ClassGen,10_10,import,43,gpb,2,10.94812768896,12.084934889777777
ClassGen,10_10,import,44,gpb,2,11.610990445266665,12.534444074671113
ClassGen,10_10,import,45,gpb,2,11.67795006374889,12.691692522635556
ClassGen,10_10,import,46,gpb,2,11.965834386568888,13.12889862374
ClassGen,10_10,import,47,gpb,2,12.468476217386666,13.485031311246665
ClassGen,10_10,import,48,gpb,2,12.66874669836889,13.84260187501111
ClassGen,25_25,home,11,pb,2,2.6127730395916666,2.5022925463416668
ClassGen,25_25,home,12,pb,2,2.7593381450499996,2.0628640355416663
ClassGen,25_25,home,13,pb,2,2.7957541063249995,2.3953410577083334
ClassGen,25_25,home,14,pb,2,2.6500072648499997,1.8790418169083332
ClassGen,25_25,home,15,pb,2,2.8344316436250003,2.3156505986500004
ClassGen,25_25,home,16,pb,2,2.725860871583334,2.1060620504166665
ClassGen,25_25,home,17,pb,2,2.999604549008333,2.0921660040583334
ClassGen,25_25,home,18,pb,2,3.0094254623833336,2.7843218711916666
