Group,Strategy,Scenario,Generation,Category,Cor
home,ClassGen,0_100,39,Male candidates1,-0.10979524156485757
home,ClassGen,0_100,39,Mothers,0.5138111916814522
home,ClassGen,0_100,40,Fathers,0.8450338231887924
home,ClassGen,0_100,40,Female candidates,0.3393265727955072
home,ClassGen,0_100,40,Male candidates,0.67775919116736
home,ClassGen,0_100,40,Male candidates1,0.2865726153507828
home,ClassGen,0_100,40,Mothers,0.5121245310308231
home,ClassGen,0_100,41,Fathers,0.509529566454128
home,ClassGen,0_100,41,Female candidates,0.372910965506269
home,ClassGen,0_100,41,Male candidates,0.271341295941439
home,ClassGen,0_100,41,Mothers,0.613658788577089
home,ClassGen,0_100,42,Fathers,0.45347170145265664
home,ClassGen,0_100,42,Female candidates,0.3415652188336445
home,ClassGen,0_100,42,Male candidates,0.6952895497403356
home,ClassGen,0_100,42,Mothers,0.6506524092258987
home,ClassGen,0_100,43,Fathers,0.7584348958453402
home,ClassGen,0_100,43,Female candidates,0.4425334606516765
home,ClassGen,0_100,43,Male candidates,0.8334525988162207
home,ClassGen,0_100,43,Mothers,0.6761175038499871
home,ClassGen,0_100,44,Fathers,0.8167176758194816
home,ClassGen,0_100,44,Female candidates,0.5125752844302431
home,ClassGen,0_100,44,Male candidates,0.7229682929616889
home,ClassGen,0_100,44,Mothers,0.6916220639336869
home,ClassGen,0_100,45,Fathers,0.8270969674977212
home,ClassGen,0_100,45,Female candidates,0.5818145079205093
home,ClassGen,0_100,45,Male candidates,0.538453520728251
home,ClassGen,0_100,45,Mothers,0.7131811519957804
home,ClassGen,0_100,46,Fathers,0.7776356933795444
home,ClassGen,0_100,46,Female candidates,0.5501139797991826
home,ClassGen,0_100,46,Male candidates,0.6943899059019645
home,ClassGen,0_100,46,Mothers,0.7350534450503418
home,ClassGen,0_100,47,Fathers,0.5536597154506785
home,ClassGen,0_100,47,Female candidates,0.49663223287799185
home,ClassGen,0_100,47,Male candidates,0.8384537450325291
home,ClassGen,0_100,47,Mothers,0.7498722318999753
home,ClassGen,0_100,48,Fathers,0.6992808005562674
home,ClassGen,0_100,48,Female candidates,0.455751214030813
home,ClassGen,0_100,48,Male candidates,0.8010880145036904
home,ClassGen,0_100,48,Mothers,0.7542539345970222
home,ClassGen,0_100,49,Fathers,0.8151105862530725
home,ClassGen,0_100,49,Female candidates,0.4825007569866101
home,ClassGen,0_100,49,Male candidates,0.8014893084085737
home,ClassGen,0_100,49,Mothers,0.7385386564456836
home,ClassGen,0_100,50,Fathers,0.8350900679193577
home,ClassGen,0_100,50,Female candidates,0.4955747603344531
home,ClassGen,0_100,50,Male candidates,0.8270530271076844
home,ClassGen,0_100,50,Mothers,0.7207034157299087
home,ClassGen,100_100,21,Fathers,0.03227091001319672
home,ClassGen,100_100,21,Female candidates,0.03895730369965889
home,ClassGen,100_100,21,Male candidates,0.7363987770512435
home,ClassGen,100_100,21,Male candidates1,-0.009426529081587696
home,ClassGen,100_100,21,Mothers,0.36048991539365927
home,ClassGen,100_100,22,Fathers,-0.08942309826752065
home,ClassGen,100_100,22,Female candidates,0.16176264041048602
home,ClassGen,100_100,22,Male candidates,-0.5411533817632173
home,ClassGen,100_100,22,Male candidates1,-0.026819479185389846
home,ClassGen,100_100,22,Mothers,0.42949245053976504
home,ClassGen,100_100,23,Fathers,-0.09879111529793212
home,ClassGen,100_100,23,Female candidates,0.188391758555272
home,ClassGen,100_100,23,Male candidates,-0.08311318741813584
home,ClassGen,100_100,23,Male candidates1,0.14445135388556668
home,ClassGen,100_100,23,Mothers,0.5247616359197896
home,ClassGen,100_100,24,Fathers,0.4397674905445568
home,ClassGen,100_100,24,Female candidates,0.36166825966009664
home,ClassGen,100_100,24,Male candidates,0.757053564714058
home,ClassGen,100_100,24,Male candidates1,0.06352729982719546
home,ClassGen,100_100,24,Mothers,0.5971257602756264
home,ClassGen,100_100,25,Fathers,0.1318251837196126
home,ClassGen,100_100,25,Female candidates,0.3543334696418799
home,ClassGen,100_100,25,Male candidates,0.9297340224888166
home,ClassGen,100_100,25,Male candidates1,0.20042618596763287
home,ClassGen,100_100,25,Mothers,0.6022245407450525
home,ClassGen,100_100,26,Fathers,0.6700815955323087
home,ClassGen,100_100,26,Female candidates,0.33572558015387444
home,ClassGen,100_100,26,Male candidates,0.9745239677184688
home,ClassGen,100_100,26,Male candidates1,0.32698164504317034
home,ClassGen,100_100,26,Mothers,0.5810886097747577
home,ClassGen,100_100,27,Fathers,0.8030170050571535
home,ClassGen,100_100,27,Female candidates,0.34298228229045385
home,ClassGen,100_100,27,Male candidates,0.9518731116017514
home,ClassGen,100_100,27,Male candidates1,0.31659668536070673
home,ClassGen,100_100,27,Mothers,0.5658348885717345
home,ClassGen,100_100,28,Fathers,0.7699338528039338
home,ClassGen,100_100,28,Female candidates,0.35411146119242587
