Generation N Sum home import Population Rep Import Scenario Cor
38 8640 1 0 1 import 0 50_50 GenGen 0.9
39 8640 1 0 1 import 0 50_50 GenGen 0.9
40 8640 1 0 1 import 0 50_50 GenGen 0.9
41 8640 1 0 1 import 0 50_50 GenGen 0.9
42 8640 1 0 1 import 0 50_50 GenGen 0.9
43 8640 1 0 1 import 0 50_50 GenGen 0.9
44 8640 1 0 1 import 0 50_50 GenGen 0.9
45 8640 1 0 1 import 0 50_50 GenGen 0.9
46 8640 1 0 1 import 0 50_50 GenGen 0.9
47 8640 1 0 1 import 0 50_50 GenGen 0.9
48 8640 1 0 1 import 0 50_50 GenGen 0.9
49 8640 1 0 1 import 0 50_50 GenGen 0.9
50 8640 1 0 1 import 0 50_50 GenGen 0.9
30 8640 1 1 0 home 0 25_25 GenGen 0.9
31 8640 1 1 0 home 0 25_25 GenGen 0.9
32 8640 1 0.973958333333333 0.0260416666666667 home 0 25_25 GenGen 0.9
33 8640 1 0.947627314814815 0.0523726851851852 home 0 25_25 GenGen 0.9
34 8640 1 0.927025462962963 0.072974537037037 home 0 25_25 GenGen 0.9
35 8640 1 0.896238425925926 0.103761574074074 home 0 25_25 GenGen 0.9
36 8640 1 0.864612268518518 0.135387731481481 home 0 25_25 GenGen 0.9
37 8640 1 0.833188657407407 0.166811342592593 home 0 25_25 GenGen 0.9
38 8640 1 0.82259837962963 0.17740162037037 home 0 25_25 GenGen 0.9
39 8640 1 0.78828125 0.21171875 home 0 25_25 GenGen 0.9
40 8640 1 0.757378472222222 0.242621527777778 home 0 25_25 GenGen 0.9
41 8640 1 0.710452835648148 0.289547164351852 home 0 25_25 GenGen 0.9
42 8640 1 0.693098958333333 0.306901041666667 home 0 25_25 GenGen 0.9
43 8640 1 0.669458912037037 0.330541087962963 home 0 25_25 GenGen 0.9
44 8640 1 0.641098813657407 0.358901186342593 home 0 25_25 GenGen 0.9
45 8640 1 0.62099609375 0.37900390625 home 0 25_25 GenGen 0.9
46 8640 1 0.61167896412037 0.38832103587963 home 0 25_25 GenGen 0.9
47 8640 1 0.582741970486111 0.417258029513889 home 0 25_25 GenGen 0.9
48 8640 1 0.549632884837963 0.450367115162037 home 0 25_25 GenGen 0.9
49 8640 1 0.527757884837963 0.472242115162037 home 0 25_25 GenGen 0.9
50 8640 1 0.506656901041667 0.493343098958333 home 0 25_25 GenGen 0.9
30 8640 1 0 1 import 0 25_25 GenGen 0.9
